"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPP","TOT","NATUSD","A","1960",0.700946,
"AUS","PPP","TOT","NATUSD","A","1961",0.701324,
"AUS","PPP","TOT","NATUSD","A","1962",0.68799,
"AUS","PPP","TOT","NATUSD","A","1963",0.698321,
"AUS","PPP","TOT","NATUSD","A","1964",0.708346,
"AUS","PPP","TOT","NATUSD","A","1965",0.705945,
"AUS","PPP","TOT","NATUSD","A","1966",0.70894,
"AUS","PPP","TOT","NATUSD","A","1967",0.711321,
"AUS","PPP","TOT","NATUSD","A","1968",0.70353,
"AUS","PPP","TOT","NATUSD","A","1969",0.70688,
"AUS","PPP","TOT","NATUSD","A","1970",0.685304,
"AUS","PPP","TOT","NATUSD","A","1971",0.693976,
"AUS","PPP","TOT","NATUSD","A","1972",0.713033,
"AUS","PPP","TOT","NATUSD","A","1973",0.764901,
"AUS","PPP","TOT","NATUSD","A","1974",0.824775,
"AUS","PPP","TOT","NATUSD","A","1975",0.859857,
"AUS","PPP","TOT","NATUSD","A","1976",0.921752,
"AUS","PPP","TOT","NATUSD","A","1977",0.95194,
"AUS","PPP","TOT","NATUSD","A","1978",0.962011,
"AUS","PPP","TOT","NATUSD","A","1979",0.974799,
"AUS","PPP","TOT","NATUSD","A","1980",0.981948,
"AUS","PPP","TOT","NATUSD","A","1981",0.985572,
"AUS","PPP","TOT","NATUSD","A","1982",1.04048,
"AUS","PPP","TOT","NATUSD","A","1983",1.086089,
"AUS","PPP","TOT","NATUSD","A","1984",1.110703,
"AUS","PPP","TOT","NATUSD","A","1985",1.138374,
"AUS","PPP","TOT","NATUSD","A","1986",1.193069,
"AUS","PPP","TOT","NATUSD","A","1987",1.243157,
"AUS","PPP","TOT","NATUSD","A","1988",1.300465,
"AUS","PPP","TOT","NATUSD","A","1989",1.349535,
"AUS","PPP","TOT","NATUSD","A","1990",1.364415,
"AUS","PPP","TOT","NATUSD","A","1991",1.347277,
"AUS","PPP","TOT","NATUSD","A","1992",1.32667,
"AUS","PPP","TOT","NATUSD","A","1993",1.31089,
"AUS","PPP","TOT","NATUSD","A","1994",1.299225,
"AUS","PPP","TOT","NATUSD","A","1995",1.308996,
"AUS","PPP","TOT","NATUSD","A","1996",1.311426,
"AUS","PPP","TOT","NATUSD","A","1997",1.306627,
"AUS","PPP","TOT","NATUSD","A","1998",1.298972,
"AUS","PPP","TOT","NATUSD","A","1999",1.29695,
"AUS","PPP","TOT","NATUSD","A","2000",1.31208,
